"","taxon.name","variable.units","variable.element","variable.context","taxon.group","ecological.group","alias","compressed"
"2968","Nuphar polysepala","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"2972","Rosaceae (>20 µm)","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"2973","Rosaceae (<20 µm)","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"2977","cf. Populus","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"2979","Plectritis","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"2994","Apocynum","NISP","pollen",NA,"Vascular plants","UPHE","Apocynum","Other"
"2997","Impatiens capensis","NISP","pollen",NA,"Vascular plants","UPHE","Impatiens capensis","Other"
"3009","Unknown (monolete) undiff.","NISP","spore",NA,"Unidentified","UNID",NA,"Other"
"3015","Lythrum salicaria","NISP","pollen",NA,"Vascular plants","UPHE","Lythrum salicaria","Other"
"3059","Lewisia","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"3161","Bryophyta undiff.","NISP","spore",NA,"Bryophytes","UPBR","Bryophyta undiff.","Other"
"3185","Heteranthera","NISP","pollen",NA,"Vascular plants","AQVP","Heteranthera","Other"
"3277","Unknown/Indeterminable undiff.","NISP","pollen/spore",NA,"Unidentified","UNID",NA,"Other"
"3296","Abies lasiocarpa","NISP","pollen",NA,"Vascular plants","TRSH","Abies lasiocarpa","Other"
"3303","Zygnema-type","NISP","palynomorph",NA,"Algae","ALGA","Zygnema-type","Other"
"3306","Agoseris glauca-type","NISP","pollen",NA,"Vascular plants","UPHE","Agoseris glauca-type","Other"
"3307","Solidago canadensis","NISP","pollen",NA,"Vascular plants","UPHE","Solidago canadensis","Other"
"3309","Myriophyllum sibiricum","NISP","pollen",NA,"Vascular plants","AQVP","Myriophyllum sibiricum","Other"
"3317","Typha angustifolia","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"3319","Typha undiff.","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"3332","Sapindaceae subf. Hippocastanoideae","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"3334","Polytrichum","NISP","spore",NA,"Bryophytes","AQBR",NA,"Other"
"3337","Myriophyllum spicatum-type","NISP","pollen",NA,"Vascular plants","AQVP","Myriophyllum spicatum-type","Other"
"3338","Saxifragaceae-type","NISP","pollen",NA,"Vascular plants","UPHE","Saxifragaceae-type","Other"
"3341","Chamaenerion latifolium","NISP","pollen",NA,"Vascular plants","UPHE","Chamaenerion latifolium","Other"
"3348","Potamogeton natans","NISP","pollen",NA,"Vascular plants","AQVP","Potamogeton natans","Other"
"3360","Hottonia-type","NISP","pollen",NA,"Vascular plants","AQVP","Hottonia-type","Other"
"3361","Linaceae","NISP","pollen",NA,"Vascular plants","UPHE","Linaceae","Other"
"3362","Oxalis","NISP","pollen",NA,"Vascular plants","UPHE","Oxalis","Other"
"3365","Viola","NISP","pollen",NA,"Vascular plants","UPHE","Viola","Other"
"3381","Elodea","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"3382","Vitis riparia","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"3383","Echinocystis lobata","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"3384","Ambrosia/Iva annua","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"3387","Leptosporangiatae undiff.","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"3392","Angiospermae undiff. (hardwood trees)","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"3393","Spermatophyta undiff. (shrubs)","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"3416","Botryococcus","NISP","colony",NA,"Algae","ALGA",NA,"Other"
"3422","Geraniaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"3430","cf. Dodecatheon","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"3433","Ligusticum","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"3434","Nephrophyllidium crista-galli","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"3451","Caprifoliaceae subf. Dipsacoideae","NISP","pollen",NA,"Vascular plants","UPHE","Caprifoliaceae subf. Dipsacoideae","Other"
"3455","Pteridophyta (monolete)","NISP","spore",NA,"Vascular plants","VACR","Pteridophyta (monolete)","Other"
"3463","Polytrichum","NISP","spore",NA,"Bryophytes","AQBR","Polytrichum","Other"
"3465","Betula (>20 µm)","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"3472","cf. Sphagnum","NISP","spore",NA,"Bryophytes","PLNT",NA,"Other"
"3473","Tilletia","NISP","spore",NA,"Fungi","FUNG",NA,"Other"
"3487","Bryophyta undiff.","NISP","spore",NA,"Bryophytes","UPBR",NA,"Other"
"3488","Trientalis","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"3494","Oplopanax horridum","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"3518","Comarum palustre-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"3522","cf. Diapensia lapponica","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"3523","Micranthes stellaris-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"3525","Pediastrum kawraiskyi","NISP","palynomorph",NA,"Algae","ALGA",NA,"Other"
"3530","Viburnum edule","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"3547","Pinguicula","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"3550","Bryophyta","NISP","spore",NA,"Bryophytes","UPBR","Bryophyta","Other"
"3558","Purshia tridentata","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"3578","Violaceae","NISP","pollen",NA,"Vascular plants","UPHE","Violaceae","Other"
"3582","Hydrocotyle-type","NISP","pollen",NA,"Vascular plants","AQVP","Hydrocotyle-type","Other"
"3589","Coniferae","NISP","pollen",NA,"Vascular plants","TRSH","Coniferae","Other"
"3594","Pinguicula","NISP","pollen",NA,"Vascular plants","UPHE","Pinguicula","Other"
"3595","cf. Araceae","NISP","pollen",NA,"Vascular plants","UPHE","cf. Araceae","Other"
"3596","Potamogeton/Triglochin","NISP","pollen",NA,"Vascular plants","AQVP","Potamogeton/Triglochin","Other"
"3597","Sisyrinchium","NISP","pollen",NA,"Vascular plants","UPHE","Sisyrinchium","Other"
"3599","Spermatophyta undiff. (trees/shrubs)","NISP","pollen",NA,"Vascular plants","TRSH","Spermatophyta undiff. (trees/shrubs)","Other"
"3606","Menyanthaceae","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"3626","Menyanthaceae","NISP","pollen",NA,"Vascular plants","AQVP","Menyanthaceae","Other"
"3638","Araceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"3639","Butomus","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"3645","Apocynaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"3648","Orchidaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"3649","Caprifoliaceae subf. Valerianoideae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"3653","Leptospermum","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"3660","Hydrocharitaceae","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"3663","Convolvulus","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"3664","Polygala","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"3692","Androsace","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"3705","Pteridophyta","NISP","spore",NA,"Vascular plants","VACR","Pteridophyta","Other"
"3751","Pinaceae undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"3758","Typha latifolia-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"3759","Spirogyra","NISP","palynomorph",NA,"Algae","ALGA",NA,"Other"
"3761","Parnassia palustris","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"3763","Sambucus nigra-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"3764","Crassulaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"3765","Solanum dulcamara","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"3766","Sparganium erectum-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"3767","Sambucus undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"3768","Crassula","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"3769","Myriophyllum verticillatum","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"3771","Galium-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"3773","Rhus typhina-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"3811","Other ferns","NISP","spore",NA,"Vascular plants","VACR","Other ferns","Other"
"3816","Spermatophyta undiff. (shrubs)","NISP","pollen",NA,"Vascular plants","TRSH","Spermatophyta undiff. (shrubs)","Other"
"3865","Abronia latifolia","NISP","pollen",NA,"Vascular plants","UPHE","Abronia latifolia","Other"
"3869","Valeriana sitchensis","NISP","pollen",NA,"Vascular plants","UPHE","Valeriana sitchensis","Other"
"3874","Polystichum munitum","NISP","spore",NA,"Vascular plants","VACR","Polystichum munitum","Other"
"3876","Conioselinum gmelinii","NISP","pollen",NA,"Vascular plants","UPHE","Conioselinum gmelinii","Other"
"3877","cf. Nymphaea","NISP","pollen",NA,"Vascular plants","AQVP","cf. Nymphaea","Other"
"3878","Angelica-type","NISP","pollen",NA,"Vascular plants","UPHE","Angelica-type","Other"
"3879","Eriocaulon aquaticum","NISP","pollen",NA,"Vascular plants","AQVP","Eriocaulon aquaticum","Other"
"3886","Iris versicolor","NISP","pollen",NA,"Vascular plants","UPHE","Iris versicolor","Other"
"3891","Stratiotes aloides","NISP","pollen",NA,"Vascular plants","AQVP","Stratiotes aloides","Other"
"3894","Nymphoides","NISP","pollen",NA,"Vascular plants","AQVP","Nymphoides","Other"
"4047","Verbena","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4051","Huperzia","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"4060","Indeterminable","NISP","pollen",NA,"Unidentified","UNID","Indeterminable","Other"
"4062","Ilex-type","NISP","pollen",NA,"Vascular plants","TRSH","Ilex-type","Other"
"4069","Galium-type","NISP","pollen",NA,"Vascular plants","UPHE","Galium-type","Other"
"4076","Brasenia","NISP","pollen",NA,"Vascular plants","AQVP","Brasenia","Other"
"4078","Viola palustris-type","NISP","pollen",NA,"Vascular plants","UPHE","Viola palustris-type","Other"
"4081","Potamogeton/Triglochin","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"4082","Typhaceae","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"4084","Cornaceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"4085","Drepanocladus","NISP","spore",NA,"Bryophytes","AQBR",NA,"Other"
"4102","Unknown","NISP","pollen",NA,"Unidentified","UNID","Unknown","Other"
"4103","Iridaceae","NISP","pollen",NA,"Vascular plants","UPHE","Iridaceae","Other"
"4105","Cornaceae","NISP","pollen",NA,"Vascular plants","TRSH","Cornaceae","Other"
"4108","Menyanthes","NISP","pollen",NA,"Vascular plants","AQVP","Menyanthes","Other"
"4109","Mitella","NISP","pollen",NA,"Vascular plants","UPHE","Mitella","Other"
"4119","Typha (tetrad)","NISP","pollen",NA,"Vascular plants","AQVP","Typha (tetrad)","Other"
"4120","Platanaceae","NISP","pollen",NA,"Vascular plants","TRSH","Platanaceae","Other"
"4124","Hamamelidaceae","NISP","pollen",NA,"Vascular plants","TRSH","Hamamelidaceae","Other"
"4126","Rorippa","NISP","pollen",NA,"Vascular plants","AQVP","Rorippa","Other"
"4129","Verbena","NISP","pollen",NA,"Vascular plants","UPHE","Verbena","Other"
"4132","Betula/Myrica","NISP","pollen",NA,"Vascular plants","TRSH","Betula/Myrica","Other"
"4135","Sparganium erectum-type","NISP","pollen",NA,"Vascular plants","AQVP","Sparganium erectum-type","Other"
"4141","Rhododendron-type","NISP","pollen",NA,"Vascular plants","TRSH","Rhododendron-type","Other"
"4142","Hypericum perforatum-type","NISP","pollen",NA,"Vascular plants","UPHE","Hypericum perforatum-type","Other"
"4143","Woodsia ilvensis-type","NISP","spore",NA,"Vascular plants","VACR","Woodsia ilvensis-type","Other"
"4144","cf. Rubus arcticus","NISP","pollen",NA,"Vascular plants","TRSH","cf. Rubus arcticus","Other"
"4146","Caprifoliaceae subf. Valerianoideae","NISP","pollen",NA,"Vascular plants","UPHE","Caprifoliaceae subf. Valerianoideae","Other"
"4157","Scilla-type","NISP","pollen",NA,"Vascular plants","UPHE","Scilla-type","Other"
"4167","Myriophyllum-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"4173","Araceae subf. Lemnoideae","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"4174","Celtis/Ulmus","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"4175","Ephedraceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"4176","Cornaceae subf. Nyssoideae","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"4177","Loranthaceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"4181","Radiola","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4182","Elodea-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"4184","Grossulariaceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"4185","Hippuris","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"4188","Ilex-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"4189","Sarcobataceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4190","Equisetaceae","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"4192","Unknown and other","NISP","pollen/spore",NA,"Unidentified","UNID","Unknown and other","Other"
"4203","Adiantum/Dennstaedtia","NISP","spore",NA,"Vascular plants","VACR","Adiantum/Dennstaedtia","Other"
"4218","Pteridophyta (trilete)","NISP","spore",NA,"Vascular plants","VACR","Pteridophyta (trilete)","Other"
"4219","Sapindaceae subf. Hippocastanoideae","NISP","pollen",NA,"Vascular plants","TRSH","Sapindaceae subf. Hippocastanoideae","Other"
"4220","Typhaceae","NISP","pollen",NA,"Vascular plants","AQVP","Typhaceae","Other"
"4223","Pinus/Picea","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"4249","Pinus/Picea","NISP","pollen",NA,"Vascular plants","TRSH","Pinus/Picea","Other"
"4264","Equisetaceae","NISP","spore",NA,"Vascular plants","VACR","Equisetaceae","Other"
"4274","Cleome","NISP","pollen",NA,"Vascular plants","UPHE","Cleome","Other"
"4275","Erodium","NISP","pollen",NA,"Vascular plants","UPHE","Erodium","Other"
"4277","Rosaceae/Anacardiaceae/Rhamnaceae","NISP","pollen",NA,"Vascular plants","TRSH","Rosaceae/Anacardiaceae/Rhamnaceae","Other"
"4278","Unknown (periporate)","NISP","pollen/spore",NA,"Unidentified","UNID","Unknown (periporate)","Other"
"4282","Typha angustifolia/Sparganium","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"4326","Indeterminable undiff.","NISP","pollen/spore",NA,"Unidentified","UNID",NA,"Other"
"4333","Leitneria floridana","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"4339","Potamogetonaceae undiff.","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"4342","Parthenocissus","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"4345","Proserpinaca","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"4350","Aesculus","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4353","Itea","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"4363","Sporormiella","NISP","spore",NA,"Fungi","FUNG",NA,"Other"
"4370","Rhus/Toxicodendron cf. T. vernix","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"4377","Chamaesyce","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4378","Rugubivesiculites","NISP","pollen","anachronic","Vascular plants","ANAC",NA,"Other"
"4379","Cingutriletes interruptus","NISP","spore","anachronic","Vascular plants","ANAC",NA,"Other"
"4380","Aquilapollenites","NISP","pollen","anachronic","Vascular plants","ANAC",NA,"Other"
"4381","Dinoflagellata","NISP","cyst","anachronic","Dinoflagellates","DINO",NA,"Other"
"4385","Psilatriletes vulgaris","NISP","spore","anachronic","Vascular plants","ANAC",NA,"Other"
"4386","Retitetradites monocolpatus","NISP","pollen","anachronic","Vascular plants","ANAC",NA,"Other"
"4387","cf. Punctatisporites punctus","NISP","spore","anachronic","Vascular plants","ANAC",NA,"Other"
"4388","Psilatriletes excelsus","NISP","spore","anachronic","Vascular plants","ANAC",NA,"Other"
"4389","Punctatriletes parvimundus","NISP","spore","anachronic","Vascular plants","ANAC",NA,"Other"
"4390","Striatriletes","NISP","spore","anachronic","Vascular plants","ANAC",NA,"Other"
"4391","Stuckenia","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"4392","Unknown undiff.","NISP","pollen/spore","anachronic","Unidentified","UNID",NA,"Other"
"4393","Psilatriletes vitreus","NISP","spore","anachronic","Vascular plants","ANAC",NA,"Other"
"4394","cf. Clavabivesiculites pannosus","NISP","pollen","anachronic","Vascular plants","ANAC",NA,"Other"
"4395","cf. Rugulatisporites quintus","NISP","spore","anachronic","Vascular plants","ANAC",NA,"Other"
"4396","cf. Verrumonocolpites conspicuus","NISP","pollen","anachronic","Vascular plants","ANAC",NA,"Other"
"4397","Retitricolpites prolatus","NISP","pollen","anachronic","Vascular plants","ANAC",NA,"Other"
"4398","Calla palustris","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"4399","cf. Foveoinaperturites scaphoformis","NISP","palynomorph","anachronic","Vascular plants","ANAC",NA,"Other"
"4400","cf. Gemmainaperturites rugosus","NISP","palynomorph","anachronic","Vascular plants","ANAC",NA,"Other"
"4401","cf. Striatriletes bifurcus","NISP","spore","anachronic","Vascular plants","ANAC",NA,"Other"
"4402","cf. Triplanosporites","NISP","spore","anachronic","Vascular plants","ANAC",NA,"Other"
"4403","cf. Verruinaperturites depressus","NISP","palynomorph","anachronic","Vascular plants","ANAC",NA,"Other"
"4404","Cingutriletes congruens","NISP","spore","anachronic","Vascular plants","ANAC",NA,"Other"
"4405","Cingutriletes densocingulatus","NISP","spore","anachronic","Vascular plants","ANAC",NA,"Other"
"4406","Foveotriletes triplanus","NISP","spore","anachronic","Vascular plants","ANAC",NA,"Other"
"4407","Rugutriletes regularis","NISP","spore","anachronic","Vascular plants","ANAC",NA,"Other"
"4408","Verrumonoporites verrucatus","NISP","pollen","anachronic","Vascular plants","ANAC",NA,"Other"
"4427","Claytonia","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4430","cf. Valerianella","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4431","Chamaesyce-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4434","Primula","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4435","Comarum-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4437","Dodecatheon-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4439","Lomatogonium","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4441","Gentianaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4445","Hypericum","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4456","Fungi undiff.","NISP","spore",NA,"Fungi","FUNG",NA,"Other"
"4460","Unknown (alete)","NISP","spore",NA,"Unidentified","UNID",NA,"Other"
"4462","Unknown (trilete, psilate)","NISP","spore",NA,"Unidentified","UNID",NA,"Other"
"4466","Unknown (trilete, sculptured)","NISP","spore",NA,"Unidentified","UNID",NA,"Other"
"4469","cf. Gilia","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4472","Unknown undiff.","NISP","spore",NA,"Unidentified","UNID",NA,"Other"
"4473","cf. Portulaca","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4474","Geranium","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4483","Cyrilla racemiflora","NISP","pollen",NA,"Vascular plants","TRSH","Cyrilla racemiflora","Other"
"4486","Citrus","NISP","pollen",NA,"Vascular plants","TRSH","Citrus","Other"
"4487","Combretaceae/Melastomataceae","NISP","pollen",NA,"Vascular plants","TRSH","Combretaceae/Melastomataceae","Other"
"4488","Itea","NISP","pollen",NA,"Vascular plants","TRSH","Itea","Other"
"4490","Gordonia","NISP","pollen",NA,"Vascular plants","TRSH","Gordonia","Other"
"4491","Pseudolycopodiella caroliniana","NISP","spore",NA,"Vascular plants","VACR","Pseudolycopodiella caroliniana","Other"
"4493","cf. Ribes","NISP","pollen",NA,"Vascular plants","TRSH","cf. Ribes","Other"
"4494","cf. Sapindaceae","NISP","pollen",NA,"Vascular plants","TRSH","cf. Sapindaceae","Other"
"4495","Meliaceae/Sapotaceae","NISP","pollen",NA,"Vascular plants","TRSH","Meliaceae/Sapotaceae","Other"
"4497","Lechea","NISP","pollen",NA,"Vascular plants","UPHE","Lechea","Other"
"4498","Tillandsia","NISP","pollen",NA,"Vascular plants","UPHE","Tillandsia","Other"
"4499","Araliaceae","NISP","pollen",NA,"Vascular plants","UPHE","Araliaceae","Other"
"4500","Unknown (trilete, verrucate)","NISP","spore",NA,"Unidentified","UNID","Unknown (trilete, verrucate)","Other"
"4502","Osmanthus","NISP","pollen",NA,"Vascular plants","TRSH","Osmanthus","Other"
"4503","Symplocos","NISP","pollen",NA,"Vascular plants","TRSH","Symplocos","Other"
"4504","Parthenocissus","NISP","pollen",NA,"Vascular plants","TRSH","Parthenocissus","Other"
"4505","Zanthoxylum","NISP","pollen",NA,"Vascular plants","TRSH","Zanthoxylum","Other"
"4509","Pontederia","NISP","pollen",NA,"Vascular plants","AQVP","Pontederia","Other"
"4510","Bromeliaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE","Bromeliaceae undiff.","Other"
"4512","Myrtaceae","NISP","pollen",NA,"Vascular plants","TRSH","Myrtaceae","Other"
"4514","Apocynaceae","NISP","pollen",NA,"Vascular plants","UPHE","Apocynaceae","Other"
"4517","Cupressaceae/Taxaceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"4527","cf. Castilleja","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4531","cf. Equisetum","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"4547","Eudicotyledoneae (tricolporate)","NISP","pollen",NA,"Vascular plants","SEED",NA,"Other"
"4553","Garrya","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"4554","Camassia","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4555","Heuchera-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4558","Unknown (type B)","NISP","pollen/spore",NA,"Unidentified","UNID",NA,"Other"
"4599","Comarum palustre","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4602","cf. Rafinesquia","NISP","pollen",NA,"Vascular plants","UPHE","cf. Rafinesquia","Other"
"4604","cf. Linanthus","NISP","pollen",NA,"Vascular plants","UPHE","cf. Linanthus","Other"
"4605","cf. Cercocarpus","NISP","pollen",NA,"Vascular plants","TRSH","cf. Cercocarpus","Other"
"4606","Fungi undiff.","NISP","spore",NA,"Fungi","FUNG","Fungi undiff.","Other"
"4608","Sporormiella","NISP","spore",NA,"Fungi","FUNG","Sporormiella","Other"
"4610","cf. Dalea","NISP","pollen",NA,"Vascular plants","UPHE","cf. Dalea","Other"
"4613","Yucca","NISP","pollen",NA,"Vascular plants","SUCC","Yucca","Other"
"4614","cf. Sambucus","NISP","pollen",NA,"Vascular plants","TRSH","cf. Sambucus","Other"
"4623","Cyclachaena xanthiifolia-type","NISP","pollen",NA,"Vascular plants","UPHE","Cyclachaena xanthiifolia-type","Other"
"4638","Toxicodendron vernix","NISP","pollen",NA,"Vascular plants","TRSH","Toxicodendron vernix","Other"
"4643","cf. Eriogonum","NISP","pollen",NA,"Vascular plants","UPHE","cf. Eriogonum","Other"
"4665","Gentiana-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4672","Abronia","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4675","Crassulaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4677","cf. Lewisia","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4716","cf. Ceanothus","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"4717","Huperzia lucidula-type","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"4718","Myriophyllum alterniflorum-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"4735","cf. Ceanothus","NISP","pollen",NA,"Vascular plants","TRSH","cf. Ceanothus","Other"
"4738","Araceae subf. Lemnoideae","NISP","pollen",NA,"Vascular plants","AQVP","Araceae subf. Lemnoideae","Other"
"4739","Rhus/Toxicodendron cf. T. radicans","NISP","pollen",NA,"Vascular plants","TRSH","Rhus/Toxicodendron cf. T. radicans","Other"
"4740","cf. Phacelia hastata","NISP","pollen",NA,"Vascular plants","UPHE","cf. Phacelia hastata","Other"
"4755","Catalpa speciosa","NISP","pollen",NA,"Vascular plants","TRSH","Catalpa speciosa","Other"
"4756","Zanthoxylum americanum","NISP","pollen",NA,"Vascular plants","TRSH","Zanthoxylum americanum","Other"
"4763","Hypoxis hirsuta","NISP","pollen",NA,"Vascular plants","UPHE","Hypoxis hirsuta","Other"
"4765","Celastraceae","NISP","pollen",NA,"Vascular plants","TRSH","Celastraceae","Other"
"4767","Toxicodendron radicans","NISP","pollen",NA,"Vascular plants","TRSH","Toxicodendron radicans","Other"
"4775","Asteraceae tribe Cichorieae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"4778","Pediastrum duplex","NISP","colony",NA,"Algae","ALGA",NA,"Other"
"4801","Pontederiaceae","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"4807","Clethra","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"4811","Cabomba","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"4837","Pontederia","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"4845","Myriophyllum undiff.","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"4923","Angiospermae undiff.","NISP","pollen",NA,"Vascular plants","SEED",NA,"Other"
"4945","Typha angustifolia/Sparganium","NISP","pollen",NA,"Vascular plants","AQVP","Typha angustifolia/Sparganium","Other"
"4951","Diospyros","NISP","pollen",NA,"Vascular plants","TRSH","Diospyros","Other"
"4953","Isoëtes lacustris","NISP","spore",NA,"Vascular plants","AQVP","Isoëtes lacustris","Other"
"4957","Stuckenia vaginata-type","NISP","pollen",NA,"Vascular plants","AQVP","Stuckenia vaginata-type","Other"
"4968","cf. Ceanothus velutinus","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"4978","Gordonia","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"4984","Hydrocotyle","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"5005","Unknown (Paleozoic)","NISP","megaspore","anachronic","Unidentified","ANAC",NA,"Other"
"5025","Isoëtes undiff.","NISP","spore",NA,"Vascular plants","AQVP",NA,"Other"
