"","diss","age","lat","long","site"
"17553",0.323676812028503,9058,47.616667,-52.666667,"Sugarloaf Pond"
"17554",0.328744750676992,9076,47.616667,-52.666667,"Sugarloaf Pond"
"17555",0.290822373645312,9113,47.616667,-52.666667,"Sugarloaf Pond"
"17724",0.317095677954196,10120,41.391389,-74.037778,"Sutherland Pond"
"17748",0.461898143674179,16625,41.391389,-74.037778,"Sutherland Pond"
"17749",0.271906560000237,17325,41.391389,-74.037778,"Sutherland Pond"
"17754",0.308693037010204,20825,41.391389,-74.037778,"Sutherland Pond"
"17799",0.340177831950199,76,44.15,-91.45,"Tamarack Creek"
"17802",0.275488248022461,341,44.15,-91.45,"Tamarack Creek"
"17803",0.281209206192992,433,44.15,-91.45,"Tamarack Creek"
"17929",0.320191154244725,9000,41.9,-71.066667,"Williams Street Bog"
"17967",0.349252813846251,619,41.275,-70.058333,"Taupawshas Bog"
"17969",0.264767451079851,1268,41.275,-70.058333,"Taupawshas Bog"
"17973",0.37996312755077,2566,41.275,-70.058333,"Taupawshas Bog"
"17976",0.317436159468702,4036,41.275,-70.058333,"Taupawshas Bog"
"17977",0.326377238015891,4367,41.275,-70.058333,"Taupawshas Bog"
"17978",0.59269746263064,4698,41.275,-70.058333,"Taupawshas Bog"
"17983",0.273607111303553,6683,41.275,-70.058333,"Taupawshas Bog"
"17988",0.274689283109507,8337,41.275,-70.058333,"Taupawshas Bog"
"17990",0.29049435598947,9298,41.275,-70.058333,"Taupawshas Bog"
"17997",0.507988497547863,-26,25.205556,-80.643889,"Taylor Creek Site 2"
"18000",0.292504153645498,-10,25.205556,-80.643889,"Taylor Creek Site 2"
"18002",0.271842017100646,0,25.205556,-80.643889,"Taylor Creek Site 2"
"18003",0.320523327926509,5,25.205556,-80.643889,"Taylor Creek Site 2"
"18004",0.332835662987904,10,25.205556,-80.643889,"Taylor Creek Site 2"
"18005",0.264900479998608,15,25.205556,-80.643889,"Taylor Creek Site 2"
"18006",0.424816033211524,18,25.205556,-80.643889,"Taylor Creek Site 2"
"18010",0.288624999748902,35,25.205556,-80.643889,"Taylor Creek Site 2"
"18011",0.445385825899547,38,25.205556,-80.643889,"Taylor Creek Site 2"
"18013",0.334480124051906,45,25.205556,-80.643889,"Taylor Creek Site 2"
"18014",0.3356664444834,50,25.205556,-80.643889,"Taylor Creek Site 2"
"18015",0.286236923969771,90,25.205556,-80.643889,"Taylor Creek Site 2"
"18016",0.366529565282016,110,25.205556,-80.643889,"Taylor Creek Site 2"
"18017",0.273488012289072,130,25.205556,-80.643889,"Taylor Creek Site 2"
"18018",0.293850074014335,170,25.205556,-80.643889,"Taylor Creek Site 2"
"18023",0.255944151551377,333,25.205556,-80.643889,"Taylor Creek Site 2"
"18026",0.311596521088784,501,25.205556,-80.643889,"Taylor Creek Site 2"
"18030",0.26977913683421,1081,25.205556,-80.643889,"Taylor Creek Site 2"
"18031",0.416367464566539,1339,25.205556,-80.643889,"Taylor Creek Site 2"
"18037",0.334226002827013,-34,25.201944,-80.687222,"Taylor Slough Site 15"
"18043",0.335680212168611,17,25.201944,-80.687222,"Taylor Slough Site 15"
"18044",0.259983058242248,50,25.201944,-80.687222,"Taylor Slough Site 15"
"18046",0.397952009175762,310,25.201944,-80.687222,"Taylor Slough Site 15"
"18075",0.279407643151397,3360,25.287222,-80.646389,"Taylor Slough Site 7"
"18240",0.308203925205096,-19,41.95,-71.033333,"Titicut Swamp"
"18491",0.264885973293353,15707,27.583333,-81.5,"Lake Tulane"
"18505",0.262234515741211,19502,27.583333,-81.5,"Lake Tulane"
"18507",0.293344248053191,20069,27.583333,-81.5,"Lake Tulane"
"18509",0.332512213455358,20643,27.583333,-81.5,"Lake Tulane"
"18572",0.373465496881561,10724,49.157778,-65.762778,"Lac Turcotte"
"18583",0.269855077380673,118,35.584722,-84.210556,"Tuskegee Pond"
"18585",0.314417271247092,168,35.584722,-84.210556,"Tuskegee Pond"
"18596",0.303076571650628,806,35.584722,-84.210556,"Tuskegee Pond"
"18598",0.329842501463723,1029,35.584722,-84.210556,"Tuskegee Pond"
"18721",0.338552610301713,6687,47.308333,-84.258333,"Upper Mallot Lake"
"18886",0.28558049648956,7213,60.782778,-69.832778,"Baie du Diana"
"19004",0.307581341184371,-19,26.2875,-80.411389,"Water Conservation Area 2A, Site 3 (Site U3)"
"19016",0.294594276636039,400,26.2875,-80.411389,"Water Conservation Area 2A, Site 3 (Site U3)"
"19017",0.262526291863663,488,26.2875,-80.411389,"Water Conservation Area 2A, Site 3 (Site U3)"
"19019",0.267333525336675,665,26.2875,-80.411389,"Water Conservation Area 2A, Site 3 (Site U3)"
"19037",0.293377919218379,-38,28.974167,-80.668889,"Water Conservation Area 3A, Site 4 (CA315 (AAS))"
"19118",0.320303356516339,4400,41.083333,-86.433333,"Wells Mastodon Site"
"19126",0.30320590022168,10511,41.083333,-86.433333,"Wells Mastodon Site"
"19469",0.307135605023794,9454,46.116667,-94.116667,"Wolf Creek"
"19470",0.285115282853554,9615,46.116667,-94.116667,"Wolf Creek"
"19718",0.318127816882433,1778,47.15,-99.233333,"Woodworth Pond"
"19723",0.344944310649162,5333,47.15,-99.233333,"Woodworth Pond"
"19754",0.283610095660004,2778,43.9,-80.4,"Wylde Bog"
"19879",0.274451358426537,5818,48.503889,-79.637778,"Lac Yelle"
"19948",0.26051449641969,4519,43.03,-93.87,"Zuehl Farm Site"
"19949",0.260263170902465,4712,43.03,-93.87,"Zuehl Farm Site"
"20293",0.316283476979606,2813,29.583333,-97.608333,"Hershop Bog"
"20331",0.262381421354096,10281,29.583333,-97.608333,"Hershop Bog"
"20466",0.259050850935454,-20,45.033333,-93.633333,"Pogonia Bog Pond"
"20467",0.291755552999705,-13,45.033333,-93.633333,"Pogonia Bog Pond"
"20468",0.268475671287986,-5,45.033333,-93.633333,"Pogonia Bog Pond"
"20471",0.263274082704151,33,45.033333,-93.633333,"Pogonia Bog Pond"
"20475",0.313950232982249,79,45.033333,-93.633333,"Pogonia Bog Pond"
"20476",0.26108836228078,90,45.033333,-93.633333,"Pogonia Bog Pond"
"20549",0.256036636688671,0,45.5,-97.33,"Pickerel Lake (US:South Dakota)"
"20718",0.378955216386167,7571,46.891944,-71.807778,"Saint-Raymond"
"20719",0.430733978342714,7651,46.891944,-71.807778,"Saint-Raymond"
"20720",0.574060826117405,7731,46.891944,-71.807778,"Saint-Raymond"
"20721",0.26163109270274,7810,46.891944,-71.807778,"Saint-Raymond"
"20814",0.277685610532543,-3,47.073611,-98.587222,"Spiritwood Lake"
"20815",0.25884634016849,14,47.073611,-98.587222,"Spiritwood Lake"
"20888",0.342753374020174,8011,47.073611,-98.587222,"Spiritwood Lake"
"20927",0.293313625815943,11456,45.255556,-67.330556,"Basswood Road Lake/Splan Pond"
"20928",0.305885955924136,11489,45.255556,-67.330556,"Basswood Road Lake/Splan Pond"
"20929",0.321477405558776,11523,45.255556,-67.330556,"Basswood Road Lake/Splan Pond"
"20930",0.29244483433844,11573,45.255556,-67.330556,"Basswood Road Lake/Splan Pond"
"20931",0.260689417273716,11606,45.255556,-67.330556,"Basswood Road Lake/Splan Pond"
"21002",0.302604379175959,523,48.108333,-92.016667,"Third Lake"
"21012",0.256820996416973,869,48.108333,-92.016667,"Third Lake"
"21022",0.273377345160058,1292,48.108333,-92.016667,"Third Lake"
"21028",0.440025465424003,1446,48.108333,-92.016667,"Third Lake"
"21081",0.263240383864794,4980,42.516667,-72.2125,"Tom Swamp"
"21232",0.270768110193864,18700,43.416667,-84.883333,"Vestaburg Bog"
